id,appN,package_name,iCr,iCm,iCs
420,Thermal Imaging Camera Sim 9,com.navicamtools.thermalcamera,,,
421,Negative Image Scanner,com.movemore.negativeimage.lc,,,
422,Women Winter Outfit Suits,com.fashioncrazeapps.WomenWinterOutfitSuits,,,
423,PLP for pixellab - Presets,com.samirfutureit.plpforpixellab,,,
424,Photo Slideshow with Music,com.opalsapps.photoslideshowwithmusic,,,
425,Fotoshoto AI,com.app.selfy,,,
426,INSTAX SQUARE Link,com.fujifilm.instaxSquareLink,,,
a,b,c,,,
428,kylie cosmetics,com.kyliecosmetics.kylie_jenner_cosmetics.amindk,,,
429,BeautyAI - Perfect Selfies Cam,com.camera.galaxyx,,,
430,Good Morning & Night Prayers,com.rr.goodmorningandnightprayers,,,
431,LogoLicious Add Your Logo App,com.olav.logolicious,,,
432,Birthday Photo Frame With Song,com.intech.birthdayvideomakerwithmusic.photoframe.birthdayvideo.videomaker.slideshow.birthdayframe,,,
433,Logo Generator & Logo Maker,creator.logo.maker.scopic,,,
434,Beauty Camera Face Editor App,com.selfie.beautycamera.makeup.pro,,,
435,Mega Photo,com.falstad.megaphotofree,,,
436,Remove Unwanted Object,com.rugalluk.remove.unwanted.objects,,,
437,Face Swap - Photo Face Swap,com.vysionapps.faceswap,,,
438,Photo Eraser Unwanted Remover,com.ppn.unwantedremover.vs,,,
439,Logo Maker Plus - Logo Creator,com.logopit.logoplus,,,
440,LINE Camera - Photo editor,jp.naver.linecamera.android,,,
441,Baby Photo Editor baby-Pics,photobaby.babypics.baby.photo.frames.photoeditor,,,
442,WhiteGram - Frames for Photos,com.kyubid.apps.whitegram.whitegram,,,
443,Pixiz - Photo montage & Collag,com.pixiz.app,,,
444,Photo Sherlock Search by photo,hippeis.com.photochecker,,,
445,Camera iphone 14 Pro - iOS 15,com.konashone.selfie_camera_beauty_edit_plus,,,
446,photoDrive for Google Drive,com.smilieideas.photodrive,,,
447,Santa Claus Suit Photo Editor,com.amosstudio.christmas.santa.suit.photoeditor,,,
448,Book Photo Frames,com.appboxitsol.bookphotoframes,,,
449,DP Photo Effects Photo Editor,com.photo.editing.pic.collage.maker,,,
450,Pixelup - AI Photo Enhancer,com.codeway.pixelup,,,
451,سكناتك‎,com.sknatkforever.mxasd,,,
452,Gold teeth Photo Editor,com.amosstudio.gold.teeth.photoeditor,,,
453,Flip Image - Mirror Image,com.rectfy.flip,,,
454,Piercing & Tattoo Photo Editor,com.bidastudio.piercing.tattoo.photoeditor,,,
455,Panasonic Image App,com.panasonic.avc.cng.imageapp,,,
456,Blur Image,com.inglesdivino.blurimage,,,
457,Auto blur: blur background,com.judi.autoblur,,,
458,Tattoo my Photo - Tattoo Maker,com.tattoomyphoto.tattoome.faketattoo,,,
a,b,c,,,
460,Creative Typography Design,com.a_superlab.typingdesigner,,,
461,Darkify Wallpaper HD - 4K 2023,com.rasmodev.darkifyapp,,,
462,Beach Photo Frames,com.appbench.beachphotoframes,,,
463,"April - Camera360 cute Layout ",us.pinguo.april_collage,,,
464,Halloween Makeup Photo Editor,com.amosstudio.halloween.makeup.photoeditor,,,
465,Royal Crown Photo Editor,com.bidastudio.royal.crown.photoeditor,,,
466,Photo & Picture Resizer,com.simplemobilephotoresizer,,,
467,Animated Photo Widget,com.hikaru.photowidgetad,,,
468,Birthday Photo Frame Editor,com.appoftools.birthdayphotoframe,,,
469,camart - cartoon photo,pixelab.camart.cartoon,,,
470,Graduation Photo Frames Editor,com.amosstudio.graduation.frames.photoeditor,,,
471,Bottle Photo Frames,com.appboxitsol.bottlephotoframes,,,
472,"Square InPic - Photo Editor & ",com.studio8apps.instasizenocrop,,,
473,Laser Eyes Photo Editor,com.amosstudio.laser.eyes.photoeditor,,,
474,Vimbam Photography,in.photomall.app.vimbamphotography,,,
475,"Beauty Camera V Camera, Editor",com.xvideostudio.vcamera,,,
476,Snapchat,com.snapchat.android,,,
477,Google Chrome: Fast & Secure,com.android.chrome,,,
478,KUNI Cam,com.ginnypix.kuni,,,
479,StoryArt - Insta story maker,com.ryzenrise.storyart,,,
480,"UC Browser-Safe, Fast, Private",com.UCMobile.intl,,,
481,Makeup Camera - Beauty Editor,photo.beautycamera.selfie.prettycamera,,,
482,Background remover - remove.bg,bg.remove.android,,,
483,DSLR Camera Blur Effects,com.coolapps.dslrcamera,,,
484,Psiphon Pro,com.psiphon3.subscription,,,
485,Download Images,com.clp.imagedown,,,
486,Retro Cam: Vintage Camera Filt,photoeditor.oldfilter.retroeffect.vintagecamera,,,
487,2ndLine - Second Phone Number,com.enflick.android.tn2ndLine,,,
488,Samsung Internet Browser,com.sec.android.app.sbrowser,,,
489,ShotOn Stamp Camera,com.shotonwatermarkstamp.autoaddshotonforcameraphotos,,,
490,Skype,com.skype.raider,,,
491,Collage Maker | Photo Editor,photoeditor.layout.collagemaker,,,
492,Puffin Cloud Browser,com.cloudmosa.puffinFree,,,
493,Bang Browser-All Video downloa,com.tencent.bang,,,
494,Vaulty : Hide Pictures Videos,com.theronrogers.vaultyfree,,,
495,LINE: Calls & Messages,jp.naver.line.android,,,
496,Frameo: Share to photo frames,net.frameo.app,,,
497,QQ,com.tencent.mobileqq,,,
498,Tezza: Aesthetic Editor,org.tezza,,,
499,"MOLDIV - Photo Editor, Collage",com.jellybus.Moldiv,,,
500,WAMR: Undelete messages!,com.drilens.wamr,,,
